Series ID,Year,Period,Value
LNS11000000,1948,M12,61169
LNS11000000,1949,M12,61908
LNS11000000,1950,M12,62068
LNS11000000,1951,M12,62457
LNS11000000,1952,M12,62621
LNS11000000,1953,M12,62795
LNS11000000,1954,M12,63312
LNS11000000,1955,M12,66445
LNS11000000,1956,M12,66700
LNS11000000,1957,M12,67398
LNS11000000,1958,M12,67740
LNS11000000,1959,M12,68994
LNS11000000,1960,M12,70395
LNS11000000,1961,M12,70077
LNS11000000,1962,M12,70854
LNS11000000,1963,M12,72188
LNS11000000,1964,M12,73465
LNS11000000,1965,M12,75093
LNS11000000,1966,M12,76641
LNS11000000,1967,M12,78491
LNS11000000,1968,M12,79463
LNS11000000,1969,M12,81624
LNS11000000,1970,M12,83670
LNS11000000,1971,M12,85625
LNS11000000,1972,M12,87943
LNS11000000,1973,M12,90890
LNS11000000,1974,M12,92780
LNS11000000,1975,M12,94409
LNS11000000,1976,M12,97348
LNS11000000,1977,M12,100491
LNS11000000,1978,M12,103809
LNS11000000,1979,M12,106258
LNS11000000,1980,M12,107352
LNS11000000,1981,M12,108912
LNS11000000,1982,M12,111083
LNS11000000,1983,M12,112327
LNS11000000,1984,M12,114581
LNS11000000,1985,M12,116354
LNS11000000,1986,M12,118611
LNS11000000,1987,M12,120729
LNS11000000,1988,M12,122622
LNS11000000,1989,M12,124497
LNS11000000,1990,M12,126142
LNS11000000,1991,M12,126664
LNS11000000,1992,M12,128554
LNS11000000,1993,M12,129941
LNS11000000,1994,M12,131951
LNS11000000,1995,M12,132511
LNS11000000,1996,M12,135113
LNS11000000,1997,M12,137155
LNS11000000,1998,M12,138634
LNS11000000,1999,M12,140177
LNS11000000,2000,M12,143248
LNS11000000,2001,M12,144305
LNS11000000,2002,M12,145066
LNS11000000,2003,M12,146729
LNS11000000,2004,M12,148059
LNS11000000,2005,M12,150030
LNS11000000,2006,M12,152732
LNS11000000,2007,M12,153918
LNS11000000,2008,M12,154655
LNS11000000,2009,M12,153111
LNS11000000,2010,M12,153650
LNS11000000,2011,M12,153995
LNS11000000,2012,M12,155628
LNS11000000,2013,M12,155182
LNS11000000,2014,M12,156332
LNS11000000,2015,M12,158035
LNS11000000,2016,M12,159710
LNS11000000,2017,M12,160538
LNS11000000,2018,M12,163111
LNS11000000,2019,M12,164556
